row_ID,final_price
35000,2880.4717
35001,6309.9873
35002,4939.665
35003,6572.0166
35004,4186.3506
35005,4934.7363
35006,3819.8286
35007,2673.8413
35008,3139.102
35009,5742.104
35010,3515.994
35011,5468.002
35012,2064.057
35013,294.7841
35014,10091.766
35015,14299.313
35016,5422.347
35017,2694.5732
35018,13323.997
35019,2292.3691
35020,239.29694
35021,6954.1665
35022,30719.014
35023,6179.4634
35024,7779.7466
35025,1944.1133
35026,4645.7583
35027,5036.0146
35028,1582.5546
35029,17632.805
35030,7422.3423
35031,1840.1945
35032,13221.462
35033,6076.6245
35034,4273.055
35035,13165.262
35036,6454.326
35037,4031.2107
35038,2971.2573
35039,10191.866
35040,1582.7174
35041,7093.203
35042,4630.0117
35043,3823.848
35044,3652.2888
35045,2057.082
35046,407.12216
35047,4858.074
35048,4027.1914
35049,4835.7456
35050,1878.4843
35051,12029.312
35052,4388.4004
35053,5043.1074
35054,1550.0203
35055,425.73648
35056,1539.32
35057,310.70755
35058,261.26505
35059,5741.7637
35060,1032.859
35061,3954.5283
35062,2881.5059
35063,8044.429
35064,69.46337
35065,15491.586
35066,6240.97
35067,3966.1702
35068,1043.4326
35069,3653.0176
35070,6222.5186
35071,5956.727
35072,1060.6267
35073,15472.181
35074,5334.826
35075,7373.228
35076,4184.6313
35077,6037.621
35078,13899.104
35079,182.7648
35080,4121.8496
35081,5472.141
35082,3555.9995
35083,3938.946
35084,4715.6196
35085,3408.62
35086,2941.3413
35087,13559.816
35088,3634.729
35089,3214.711
35090,129.88425
35091,3603.0432
35092,261.26505
35093,16871.787
35094,1584.18
35095,5941.856
35096,4773.533
35097,8350.2705
35098,4620.698
35099,4141.2183
35100,4130.925
35101,5675.3853
35102,11374.527
35103,59.9929
35104,1971.2686
35105,7213.0913
35106,6698.658
35107,4967.108
35108,4253.4673
35109,5951.2686
35110,10633.813
35111,2863.778
35112,6645.401
35113,4171.7856
35114,5227.8794
35115,4178.755
35116,2567.9517
35117,8109.6304
35118,1107.9486
35119,10118.33
35120,4855.9272
35121,3748.6646
35122,1862.373
35123,5277.817
35124,735.388
35125,2576.0347
35126,4921.138
35127,6708.481
35128,6291.868
35129,14971.895
35130,4162.3896
35131,899.7089
35132,3040.6182
35133,3999.8618
35134,2564.5095
35135,6429.634
35136,38.937485
35137,901.91675
35138,4216.194
35139,1736.6477
35140,4751.8257
35141,8124.072
35142,5217.1396
35143,9930.734
35144,889.0182
35145,2702.7834
35146,8117.219
35147,1334.2618
35148,5914.8765
35149,3484.6472
35150,7453.138
35151,3597.0352
35152,105.904915
35153,2176.3945
35154,4576.119
35155,310.70755
35156,4441.6387
35157,4767.0483
35158,2134.9646
35159,5544.6436
35160,185.82768
35161,4768.4478
35162,3867.7778
35163,2325.7747
35164,2990.111
35165,8105.2217
35166,7070.7524
35167,4294.9614
35168,5236.7256
35169,833.51843
35170,4054.1562
35171,5377.3867
35172,4812.09
35173,5758.6226
35174,2515.2053
35175,3423.106
35176,6891.689
35177,3587.843
35178,7420.002
35179,4377.594
35180,2601.5964
35181,4815.5757
35182,6484.139
35183,9481.167
35184,3907.473
35185,93.12535
35186,3530.7231
35187,5354.6533
35188,6805.758
35189,2762.8484
35190,1677.5957
35191,1932.7562
35192,5760.368
35193,5710.446
35194,9147.148
35195,9925.529
35196,-359.83884
35197,199.03578
35198,5665.5884
35199,4244.2573
35200,1411.2224
35201,6564.625
35202,8973.282
35203,2263.0698
35204,9575.948
35205,2962.293
35206,152.12685
35207,3901.0117
35208,7694.752
35209,5798.9565
35210,13425.801
35211,2248.0525
35212,1731.4797
35213,15147.861
35214,5219.278
35215,1116.1798
35216,11195.013
35217,771.06586
35218,12039.748
35219,4419.854
35220,8454.671
35221,8187.8193
35222,19643.873
35223,3060.149
35224,5500.632
35225,1996.0361
35226,15108.128
35227,6763.025
35228,5295.6187
35229,152.09749
35230,5395.0566
35231,3716.9065
35232,6429.891
35233,3330.0273
35234,1704.3457
35235,8308.905
35236,5799.585
35237,590.42444
35238,2933.2046
35239,4472.633
35240,10292.761
35241,11307.182
35242,11212.63
35243,6283.1123
35244,4123.6377
35245,1599.713
35246,4211.0957
35247,11365.585
35248,6154.553
35249,2918.942
35250,3698.828
35251,10529.707
35252,4839.8057
35253,1895.1586
35254,2587.4136
35255,2576.9563
35256,16209.115
35257,774.31134
35258,1634.3331
35259,1181.0504
35260,2348.7273
35261,2565.739
35262,240.155
35263,9540.955
35264,2211.9927
35265,3441.31
35266,163.38644
35267,2766.9397
35268,143.45886
35269,1883.8431
35270,4718.6616
35271,5813.3276
35272,5452.9717
35273,1538.624
35274,6551.6157
